22613,6524,"00AK",2500,70,"GRVL",,0,"N",,,,,,"S",,,,,
21618,6525,"00AL",2300,200,"TURF",,0,"01",,,,,,"19",,,,,
25142,6527,"00AZ",1700,60,"GRAVEL",,0,"15",,,,,,"33",,,,,
12943,6528,"00CA",6000,80,"ASP",1,0,"04",35.3493,-116.893,,50,,"22",35.3603,-116.878,,230,
18035,6529,"00CO",3900,20,"TURF-G",,0,"16",,,,,,"34",,,,,
15403,6531,"00FA",3200,100,"TURF",,0,"08",,,,,,"26",,,,,
17852,6533,"00FL",4090,100,"TURF",,0,"12",,,,,,"30",,,,,
20881,6534,"00GA",2600,80,"TURF",,0,"09",,,,,,"27",,,,,
14076,6537,"00ID",3300,40,"TURF",,0,"08",,,,,,"26",,,,,
14077,6537,"00ID",2700,40,"TURF",,0,"11",,,,,,"29",,,,,
19628,6539,"00IL",2500,75,"TURF-F",,0,"18",,,,,,"36",,,,,
22051,6541,"00IS",1600,70,"TURF",,0,"E",,,,,,"W",,,,,
24062,6542,"00KS",2600,85,"TURF",,0,"17",,,,,,"35",,,,,
19428,6543,"00KY",2100,100,"TURF",,0,"01",,,,,,"19",,,,,
23416,6545,"00LS",2600,100,"TURF",,0,"18",,,,,,"36",,,,,
23306,6546,"00MD",1700,75,"TURF",,0,"14",,,,,,"32",,,,,
23323,6548,"00MN",2949,200,"TURF-G",,0,"06",,,,,,"24",,,,,
22275,6549,"00MO",2400,25,"TURF",,0,"08",,,,,,"26",,,,,
24591,6550,"00MT",2000,75,"TURF",,0,"E",,,,,,"W",,,,,
16643,6551,"00N",1900,150,"TURF-G",,0,"18",,,,,,"36",,,,,
16817,6552,"00NC",2650,36,"ASPH-G",,0,"05",,,,,,"23",,,,,
16067,6554,"00NY",2350,80,"TURF",,0,"03",,,,,,"21",,,,,
23026,6555,"00OH",2695,90,"TURF-G",,0,"08",,,,,,"26",,,,,
19138,6559,"00PS",3100,100,"TURF-G",,0,"08",,,,,,"26",,,,,
17562,6560,"00S",2600,90,"TURF-P",,0,"06",,,,,,"24",,,,,
